id;name;family_name;phone_number
1;Awesome SQL;web-enabled Synergized;Hat Sheqel
2;monitoring;redundant back-end;Fundamental yellow
3;Fresh;Small Card Security;adapter Steel
4;Haiti Rubber;Legacy parse Loan;COM Metal
5;CSS Avon turquoise;embrace;Utah
6;Saint navigate;Rustic Wyoming payment;Savings Euro
7;Buckinghamshire override;synthesizing Switzerland override;Krone Garden Intelligent
8;SQL Persevering navigating;cross-platform Colorado synergies;Soft red AGP
9;Automotive Division solution-oriented;Home interactive paradigms;Infrastructure New
10;Generic;synthesizing District Operative;Fantastic Orchestrator
